Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Ourobouros Root Belt III,90,Nature,24,24,0,0,0,5,5,9,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,0,0,0,0,0,Belt,Ourobouros Root Belt III,TODO: LINK
Ourobouros Root Belt II,70,Nature,16,16,0,0,0,3,3,7,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,0,0,0,Belt,Ourobouros Root Belt II,TODO: LINK
Ourobouros Root Belt I,50,Nature,10,10,0,0,0,1,1,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,0,0,0,0,0,Belt,Ourobouros Root Belt I,TODO: LINK
Maeve's Tears IX,90,Light,0,0,0,12,12,12,12,9,9,0,0,0,8,8,8,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,0,0,0,0,0,Belt,Maeve's Tears IX,TODO: LINK
Maeve's Tears VIII,80,Light,0,0,0,10,10,10,10,8,8,0,0,0,8,8,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,0,0,0,0,0,Belt,Maeve's Tears VIII,TODO: LINK
Maeve's Tears VII,70,Light,0,0,0,8,8,8,8,7,7,0,0,0,7,7,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,2,0,0,0,0,0,Belt,Maeve's Tears VII,TODO: LINK
Maeve's Tears VI,60,Light,0,0,0,7,7,7,7,6,6,0,0,0,6,6,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,2,0,0,0,0,0,Belt,Maeve's Tears VI,TODO: LINK
Maeve's Tears V,50,Light,0,0,0,5,5,5,5,5,5,0,0,0,5,5,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,2,0,0,0,0,0,Belt,Maeve's Tears V,TODO: LINK
Maeve's Tears IV,40,Light,0,0,0,4,4,4,4,4,4,0,0,0,4,4,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,2,0,0,0,0,0,Belt,Maeve's Tears IV,TODO: LINK
Maeve's Tears III,30,Light,0,0,0,3,3,3,3,3,3,0,0,0,3,3,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,2,0,0,0,0,0,Belt,Maeve's Tears III,TODO: LINK
Maeve's Tears II,20,Light,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,0,0,0,0,0,Belt,Maeve's Tears II,TODO: LINK
Maeve's Tears I,10,Light,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0,0,0,Belt,Maeve's Tears I,TODO: LINK
Grimoire of the Lich III,90,Darkness,0,24,24,0,0,5,5,9,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,0,0,0,0,0,Belt,Grimoire of the Lich III,http://forums2.battleon.com/f/fb.asp?m=22393566
