Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Falwynn's Snackpack,30,Nature,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracer,Falwynn's Snackpack,http://forums2.battleon.com/f/fb.asp?m=22396139
Draconic Glowtooth,1,Light,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Artifact,Draconic Glowtooth,http://forums2.battleon.com/f/fb.asp?m=22387135
Falwynn's Moon Charm,30,Nature,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracer,Falwynn's Moon Charm,http://forums2.battleon.com/f/fb.asp?m=22374513
The Eraglass,1,Evil,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Artifact,The Eraglass,http://forums2.battleon.com/f/fb.asp?m=22371497
Azaveyran Farewell I,30,Fear,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Bracer,Azaveyran Farewell I,http://forums2.battleon.com/f/fb.asp?m=22360031
Azaveyran Farewell II,60,Fear,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Bracer,Azaveyran Farewell II,http://forums2.battleon.com/f/fb.asp?m=22360032
Azaveyran Farewell III,90,Fear,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Bracer,Azaveyran Farewell III,http://forums2.battleon.com/f/fb.asp?m=22360033
Corrupted Doom Cassette,1,Evil,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Artifact,Corrupted Doom Cassette,http://forums2.battleon.com/f/fb.asp?m=22349968
Eternal Locket,1,Fear,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Artifact,Eternal Locket,http://forums2.battleon.com/f/fb.asp?m=22305903
Falwynn's Disguise Kit,30,Nature,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracer,Falwynn's Disguise Kit,http://forums2.battleon.com/f/fb.asp?m=22313248
Falwynn's Lucky Rock,30,Nature,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracer,Falwynn's Lucky Rock,http://forums2.battleon.com/f/fb.asp?m=22252428
Hero's Armband,85,Good,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bracer,Hero's Armband,http://forums2.battleon.com/f/fb.asp?m=22229856
Legion Bracer,1,Evil,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Bracer,Legion Bracer,http://forums2.battleon.com/f/fb.asp?m=22303541
Shadowheart Bracer,1,Darkness,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Shadowheart Bracer,http://forums2.battleon.com/f/fb.asp?m=22161028
