Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
The Cloak of the Deepest Depths III,90,Water,8,8,8,0,0,10,10,0,0,7,7,7,7,7,7,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,Cape,The Cloak of the Deepest Depths III,http://forums2.battleon.com/f/fb.asp?m=22398707
The Cloak of the Deepest Depths II,60,Water,4,4,4,0,0,6,6,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,Cape,The Cloak of the Deepest Depths II,http://forums2.battleon.com/f/fb.asp?m=22398706
The Cloak of the Deepest Depths I,30,Water,3,3,3,0,0,4,4,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,Cape,The Cloak of the Deepest Depths I,http://forums2.battleon.com/f/fb.asp?m=22398705
Melissa's Battle Wings VII,90,Wind,12,12,12,10,10,12,10,9,9,8,8,8,2,2,2,5,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,10,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17,5,17,0,1,0,0,0,0,0,Wings,Melissa's Battle Wings VII,http://forums2.battleon.com/f/fb.asp?m=22396313
Melissa's Wings VII,90,Wind,12,12,12,10,10,12,0,9,9,8,8,8,2,2,2,0,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,1,2,0,0,0,0,0,Wings,Melissa's Wings VII,http://forums2.battleon.com/f/fb.asp?m=21480659
Notha's Spell III,90,Evil,16,16,16,8,8,0,0,9,9,7,7,7,7,7,7,5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0,0,0,Cape,Notha's Spell III,http://forums2.battleon.com/f/fb.asp?m=22395576
Notha's Spell II,70,Evil,12,12,12,6,6,0,0,8,8,6,6,6,6,6,6,4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,Cape,Notha's Spell II,http://forums2.battleon.com/f/fb.asp?m=22395575
Notha's Spell I,50,Evil,7,7,7,4,4,0,0,5,5,5,5,5,5,5,5,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,Cape,Notha's Spell I,http://forums2.battleon.com/f/fb.asp?m=22395574
Astravian Wings,90,Fire,10,10,10,8,8,0,0,8,8,0,0,0,8,8,8,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,Wings,Astravian Wings,http://forums2.battleon.com/f/fb.asp?m=22395597
Astravian Wings,80,Fire,9,9,9,5,5,0,0,6,8,0,0,0,8,8,8,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,Wings,Astravian Wings,http://forums2.battleon.com/f/fb.asp?m=22395596
