Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Self-Containment Unit v15.5,90,Fear,8,8,8,0,0,30,30,7,7,7,7,7,7,7,7,0,0,-6,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,-6,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.5,TODO: LINK
Self-Containment Unit v15.4,80,Fear,7,7,7,0,0,20,20,5,5,5,5,5,5,5,5,0,0,-5,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,0,-5,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.4,TODO: LINK
Self-Containment Unit v15.3,70,Fear,6,6,6,0,0,16,16,4,4,4,4,4,4,4,4,0,0,-4,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,0,-4,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.3,TODO: LINK
Self-Containment Unit v15.2,60,Fear,5,5,5,0,0,12,12,3,3,3,3,3,3,3,3,0,0,-3,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,-3,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.2,TODO: LINK
Self-Containment Unit v15.1,50,Fear,4,4,4,0,0,10,10,2,2,1,1,1,1,1,1,0,0,-2,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,-2,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.1,TODO: LINK
Self-Containment Unit v15.0,40,Fear,2,2,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,-1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,Helm,Self-Containment Unit v15.0,TODO: LINK
Enchanted Frostcrown IX,90,Ice,10,10,25,10,10,0,0,4,15,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Helm,Enchanted Frostcrown IX,TODO: LINK
Enchanted Frostcrown VIII,80,Ice,9,9,22,9,9,0,0,4,13,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Helm,Enchanted Frostcrown VIII,TODO: LINK
Enchanted Frostcrown VII,70,Ice,8,8,20,8,8,0,0,3,13,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Helm,Enchanted Frostcrown VII,TODO: LINK
Enchanted Frostcrown VI,60,Ice,7,7,18,7,7,0,0,3,9,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Helm,Enchanted Frostcrown VI,TODO: LINK
Enchanted Frostcrown V,50,Ice,6,6,16,6,6,0,0,2,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Helm,Enchanted Frostcrown V,TODO: LINK
Enchanted Frostcrown IV,40,Ice,4,4,14,4,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Helm,Enchanted Frostcrown IV,TODO: LINK
Enchanted Frostcrown III,30,Ice,2,2,10,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Helm,Enchanted Frostcrown III,TODO: LINK
