Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Clawkin Cloak Clasp VII,90,Nature,15,15,15,10,10,8,8,8,8,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp VII,TODO: LINK
Clawkin Cloak Clasp VI,80,Nature,13,13,13,8,8,6,6,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp VI,TODO: LINK
Clawkin Cloak Clasp V,70,Nature,10,10,10,6,6,5,5,7,7,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp V,TODO: LINK
Clawkin Cloak Clasp IV,60,Nature,8,8,8,5,5,5,5,6,6,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp IV,TODO: LINK
Clawkin Cloak Clasp III,50,Nature,6,6,6,4,4,4,4,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp III,TODO: LINK
Clawkin Cloak Clasp II,40,Nature,5,5,5,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp II,TODO: LINK
Clawkin Cloak Clasp I,30,Nature,4,4,4,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Clawkin Cloak Clasp I,TODO: LINK
Mosscrystal Pendant VI,90,Nature,11,11,11,11,11,11,11,5,5,0,0,0,0,0,0,0,0,-5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,-5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant VI,http://forums2.battleon.com/f/fb.asp?m=22395905
Mosscrystal Pendant V,80,Nature,9,9,9,9,9,9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant V,http://forums2.battleon.com/f/fb.asp?m=22395904
Mosscrystal Pendant IV,70,Nature,7,7,7,7,7,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant IV,http://forums2.battleon.com/f/fb.asp?m=22395903
Mosscrystal Pendant III,60,Nature,6,6,6,6,6,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant III,http://forums2.battleon.com/f/fb.asp?m=22395902
Mosscrystal Pendant II,50,Nature,5,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant II,http://forums2.battleon.com/f/fb.asp?m=22395900
Mosscrystal Pendant I,40,Nature,4,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Mosscrystal Pendant I,http://forums2.battleon.com/f/fb.asp?m=22395899
Glamorstone Necklace,87,Nature,13,13,13,12,5,10,10,10,10,2,2,2,2,2,2,0,7,-5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,13,13,0,7,-5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,13,13,0,1,2,0,0,0,0,0,Necklace,Glamorstone Necklace,http://forums2.battleon.com/f/fb.asp?m=22392413
Tizheruk Scale IX,90,Fear,-10,-10,-10,0,-10,15,15,15,15,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,0,0,0,0,0,Necklace,Tizheruk Scale IX,http://forums2.battleon.com/f/fb.asp?m=22390893
Tizheruk Scale VIII,80,Fear,-10,-10,-10,0,-10,10,10,10,10,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,0,0,0,0,0,Necklace,Tizheruk Scale VIII,http://forums2.battleon.com/f/fb.asp?m=22390892
Tizheruk Scale VII,70,Fear,-10,-10,-10,0,-10,7,7,7,7,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,0,0,0,0,0,Necklace,Tizheruk Scale VII,http://forums2.battleon.com/f/fb.asp?m=22390891
