Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Lost Adventurer's Ring IX,90,Metal,0,0,0,0,45,0,0,10,10,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Lost Adventurer's Ring IX,TODO: LINK
Lost Adventurer's Ring VIII,80,Metal,0,0,0,0,40,0,0,8,8,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Lost Adventurer's Ring VIII,TODO: LINK
Lost Adventurer's Ring VII,70,Metal,0,0,0,0,35,0,0,7,7,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Lost Adventurer's Ring VII,TODO: LINK
Lost Adventurer's Ring VI,60,Metal,0,0,0,0,30,0,0,6,6,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring VI,TODO: LINK
Lost Adventurer's Ring V,50,Metal,0,0,0,0,25,0,0,5,5,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring V,TODO: LINK
Lost Adventurer's Ring IV,40,Metal,0,0,0,0,20,0,0,4,4,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring IV,TODO: LINK
Lost Adventurer's Ring III,30,Metal,0,0,0,0,15,0,0,3,3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring III,TODO: LINK
Lost Adventurer's Ring II,20,Metal,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring II,TODO: LINK
Lost Adventurer's Ring I,10,Metal,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Lost Adventurer's Ring I,TODO: LINK
Tarnished Relic DeathKnight Circlet,90,Darkness,10,10,10,0,0,11,11,10,10,9,9,9,8,8,8,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ring,Tarnished Relic DeathKnight Circlet,http://forums2.battleon.com/f/fb.asp?m=22388553
Relic DeathKnight Circlet,90,Darkness,10,10,10,0,0,11,11,10,10,9,9,9,8,8,8,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Ring,Relic DeathKnight Circlet,http://forums2.battleon.com/f/fb.asp?m=22387780
Zeclem's Relic Band,90,Darkness,10,10,10,0,0,11,11,10,10,9,9,9,8,8,8,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,5,0,0,15,0,0,15,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ring,Zeclem's Relic Band,http://forums2.battleon.com/f/fb.asp?m=22387767
Mechanical Ring VII,90,Metal,11,11,11,8,8,0,0,8,8,0,0,0,7,7,7,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Mechanical Ring VII,http://forums2.battleon.com/f/fb.asp?m=22385966
Mechanical Ring VI,80,Metal,9,9,9,7,7,0,0,7,7,0,0,0,6,6,6,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Mechanical Ring VI,http://forums2.battleon.com/f/fb.asp?m=22385965
Mechanical Ring V,70,Metal,8,8,8,6,6,0,0,6,6,0,0,0,5,5,5,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Ring,Mechanical Ring V,http://forums2.battleon.com/f/fb.asp?m=22385964
Mechanical Ring IV,60,Metal,7,7,7,5,5,0,0,5,5,0,0,0,4,4,4,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ring,Mechanical Ring IV,http://forums2.battleon.com/f/fb.asp?m=22385963
