Name,Level,Element,Damage,Damage Low,Damage High,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Has Special,Item Type,Attack Type,Name No Link,Link
Snow's Repose IX,90,Ice,93,93,93,50,50,50,-100,0,-100,0,-45,-30,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose IX,http://forums2.battleon.com/f/fb.asp?m=22399205
Snow's Repose VIII,80,Ice,87,87,87,45,45,45,-100,0,-100,0,-40,-30,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose VIII,http://forums2.battleon.com/f/fb.asp?m=22399204
Snow's Repose VII,70,Ice,81,81,81,40,40,40,-80,0,-80,0,-35,-30,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose VII,http://forums2.battleon.com/f/fb.asp?m=22399203
Snow's Repose VI,60,Ice,74,74,74,35,35,35,-60,0,-60,0,-25,-25,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose VI,http://forums2.battleon.com/f/fb.asp?m=22399202
Snow's Repose V,50,Ice,66,66,66,30,30,30,-50,0,-50,0,-20,-20,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose V,http://forums2.battleon.com/f/fb.asp?m=22399201
Snow's Repose IV,40,Ice,60,60,60,25,25,25,-40,0,-40,0,-15,-15,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose IV,http://forums2.battleon.com/f/fb.asp?m=22399200
Snow's Repose III,30,Ice,50,50,50,20,20,20,-30,0,-30,0,-15,-15,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose III,http://forums2.battleon.com/f/fb.asp?m=22399199
Snow's Repose II,20,Ice,40,40,40,15,15,15,-20,0,-20,0,-10,-10,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose II,http://forums2.battleon.com/f/fb.asp?m=22399198
Snow's Repose I,10,Ice,27,27,27,10,10,10,-20,0,-10,0,-10,-10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Scythe,Magic/Pierce/Melee,Snow's Repose I,http://forums2.battleon.com/f/fb.asp?m=22399197
Paper Boat Dagger IX,90,Wind,93.5,1,186,15,15,15,15,30,0,0,0,10,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,2,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger IX,http://forums2.battleon.com/f/fb.asp?m=22397247
